trader,buy_count,distinct_stocks,total_buy_amount_w,exited_sample_count,quick_exit_rate_1d,median_calendar_days_to_first_sell,win_rate_est,median_blended_return_pct,top_industries,style_label,confidence,risk_rule
独股一剑,6,3,6332.0,3,0.0,7.0,0.8333333333333334,0.07074486507129918,M73研究和试验发展(2775万)；P83教育(1951万)；D44电力、热力生产和供应业(1606万),样本内持有更分散，需结合新单确认是否为铺垫或波段,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
孙哥,5,5,18345.0,2,0.0,6.0,0.6,0.04077520602735074,C34通用设备制造业(8465万)；C39计算机、通信和其他电子设备制造业(4467万)；C38电气机械和器材制造业(3629万),样本内持有更分散，需结合新单确认是否为铺垫或波段,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
五星路,4,4,33392.0,1,1.0,0.0,1.0,0.2091769816887038,C40仪器仪表制造业(13900万)；C26化学原料和化学制品制造业(11800万)；C29橡胶和塑料制品业(5659万),快进快出/事件驱动，次日兑现风险较高,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
思明南路,4,4,14162.0,1,1.0,1.0,0.25,-0.055457166879939845,未分类(6016万)；K70房地产业(3803万)；C30非金属矿物制品业(2370万),快进快出/事件驱动，次日兑现风险较高,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
山东帮,4,4,5820.0,1,0.0,3.0,0.25,-0.06465056520144391,C29橡胶和塑料制品业(2770万)；C38电气机械和器材制造业(2647万)；未分类(403万),短波段，偏好1–3日内轮动兑现,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
欢乐海岸,3,3,14170.0,0,,,0.6666666666666666,0.017023799407687612,C39计算机、通信和其他电子设备制造业(12150万)；C32有色金属冶炼和压延加工业(2020万),样本内持有更分散，需结合新单确认是否为铺垫或波段,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
章盟主,3,3,6261.0,0,,,0.3333333333333333,-0.026006870011746175,C32有色金属冶炼和压延加工业(3007万)；C26化学原料和化学制品制造业(1826万)；C15酒、饮料和精制茶制造业(1428万),样本内持有更分散，需结合新单确认是否为铺垫或波段,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
屠文斌,2,2,16067.0,0,,,0.0,-0.10298064408365354,C39计算机、通信和其他电子设备制造业(9204万)；未分类(6863万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
广东帮,2,2,5838.0,1,0.0,14.0,1.0,0.4992368124891121,M73研究和试验发展(4362万)；C26化学原料和化学制品制造业(1476万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
三板组,2,2,5000.0,0,,,0.5,0.06776616443620914,C34通用设备制造业(3034万)；D44电力、热力生产和供应业(1966万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
bike770,2,2,1651.0,0,,,1.0,0.22718117555480344,C40仪器仪表制造业(981万)；I64互联网和相关服务(670万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
湖里大道,2,2,1420.0,0,,,0.5,-0.02477385791387504,I65软件和信息技术服务业(1021万)；K70房地产业(399万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
交易猿,1,1,31800.0,0,,,0.0,-0.09169184442661504,C39计算机、通信和其他电子设备制造业(31800万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
上海自贸区,1,1,16900.0,0,,,1.0,0.3522241456793689,C39计算机、通信和其他电子设备制造业(16900万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
方新侠,1,1,13300.0,1,0.0,7.0,1.0,0.07656994725601618,C32有色金属冶炼和压延加工业(13300万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
学院南路,1,1,6875.0,1,1.0,1.0,0.0,-0.016712120507318073,C34通用设备制造业(6875万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
上塘路,1,1,5448.0,0,,,1.0,0.2627537055288278,C39计算机、通信和其他电子设备制造业(5448万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
大连黄河路,1,1,5067.0,0,,,1.0,0.07810957117549511,C39计算机、通信和其他电子设备制造业(5067万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
著名刺客,1,1,4986.0,0,,,1.0,0.09751075874537407,C35专用设备制造业(4986万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
涪陵广场路,1,1,4433.0,0,,,0.0,-0.02896156644850223,R87广播、电视、电影和录音制作业(4433万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
徐晓,1,1,4064.0,0,,,0.0,-0.04896117283549839,C39计算机、通信和其他电子设备制造业(4064万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
新生代,1,1,3155.0,0,,,1.0,0.004646718249603055,C39计算机、通信和其他电子设备制造业(3155万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
小鳄鱼,1,1,2410.0,0,,,1.0,0.06460876212556821,C39计算机、通信和其他电子设备制造业(2410万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
湖州劳动路,1,1,1579.0,0,,,1.0,0.11609939807778913,C35专用设备制造业(1579万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
秋千,1,1,1001.0,0,,,1.0,0.21118012465368108,C29橡胶和塑料制品业(1001万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
落升,1,1,547.0,0,,,1.0,0.29421740647547034,I65软件和信息技术服务业(547万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
消闲派,1,1,533.0,0,,,1.0,0.1206398400235571,C36汽车制造业(533万),样本不足，只记录观察项,低,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
