date	trader	side	stock	amount_w	window	quality	source_image	note
2026-07-20	低位挖掘	买入	恒尚节能	1890	单日	verified	18.jpg	
2026-07-20	低位挖掘	买入	立方控股	424	单日	verified	18.jpg	
2026-07-20	低位挖掘	卖出	深南电A	858	单日	verified	18.jpg	
2026-07-20	孙哥	买入	龙鑫智能	676	单日	verified	18.jpg	
2026-07-20	中山东路	卖出	中百集团	2106	单日	verified	18.jpg	
2026-07-20	温州帮	买入	金开新能	1466	单日	verified	18.jpg	
2026-07-20	温州帮	买入	金达莱	1092	单日	verified	18.jpg	
2026-07-20	温州帮	卖出	创新医疗	3495	单日	verified	18.jpg	
2026-07-20	温州帮	卖出	天普股份	1142	单日	verified	18.jpg	
2026-07-20	温州帮	卖出	卓郎智能	719	单日	verified	18.jpg	
2026-07-20	温州帮	卖出	湘财股份	2996	单日	verified	18.jpg	
2026-07-20	玉兰路	卖出	托伦斯	2319	单日	verified	18.jpg	
2026-07-20	上海自贸区	买入	天通股份	16900	单日	verified	18.jpg	
2026-07-22	作手新一	买入	创业黑马	4650	单日	verified	17.jpg	
2026-07-22	作手新一	买入	证通电子	3419	单日	verified	17.jpg	
2026-07-22	作手新一	买入	紫光股份	92100	3日	verified	17.jpg	
2026-07-22	作手新一	卖出	紫光股份	91500	3日	verified	17.jpg	
2026-07-22	作手新一	卖出	中岩大地	10600	单日	verified	17.jpg	
2026-07-22	紫阳东路	买入	金牛化工	5711	单日	verified	17.jpg	
2026-07-22	紫阳东路	买入	贤丰控股	5979	单日	verified	17.jpg	
2026-07-22	知春路	卖出	东方锆业	10700	单日	verified	17.jpg	结合当日东方财富龙虎榜复核代码002167
2026-07-22	江苏路	买入	招金黄金	1871	单日	verified	17.jpg	
2026-07-22	江苏路	买入	瑞斯康达	1666	单日	verified	17.jpg	
2026-07-22	江苏路	卖出	米奥会展	2026	单日	verified	17.jpg	
2026-07-22	江苏路	卖出	美利云	3535	单日	verified	17.jpg	
2026-07-22	学院南路	买入	托伦斯	6875	单日	verified	17.jpg	
2026-07-22	呼家楼	买入	托伦斯	5080	单日	verified	17.jpg	
2026-07-22	温州帮	买入	华通线缆	5588	单日	verified	17.jpg	
2026-07-22	温州帮	买入	美利云	1997	单日	verified	17.jpg	
2026-07-22	温州帮	买入	星辉环材	1554	单日	verified	17.jpg	
2026-07-22	温州帮	卖出	金字火腿	2192	单日	verified	17.jpg	
2026-07-22	温州帮	卖出	贵绳股份	1310	单日	verified	17.jpg	
2026-07-22	成都系	买入	山金国际	10100	单日	verified	17.jpg	
2026-07-22	屠文斌	买入	德明利	9204	单日	verified	17.jpg	
2026-07-22	孙哥	买入	托伦斯	8465	单日	verified	17.jpg	
2026-07-22	炒股养家	买入	山金国际	5204	单日	verified	17.jpg	
2026-07-22	炒股养家	卖出	联创电子	1795	单日	verified	17.jpg	
2026-07-22	独股一剑	买入	万邦医药	1007	单日	verified	17.jpg	
2026-07-22	宁波桑田路	买入	立新能源	4808	3日	verified	17.jpg	
2026-07-22	宁波桑田路	卖出	立新能源	4794	3日	verified	17.jpg	
2026-07-22	三板组	卖出	灵康药业	698	单日	verified	17.jpg	
2026-07-22	广东帮	卖出	创业黑马	1521	单日	verified	17.jpg	
2026-07-22	思明南路	卖出	美利云	3373	单日	verified	17.jpg	
2026-07-23	紫阳东路	买入	红板科技	12800	单日	verified	16.jpg	
2026-07-23	紫阳东路	买入	珍宝岛	6676	单日	verified	16.jpg	
2026-07-23	紫阳东路	卖出	通富微电	42600	单日	verified	16.jpg	
2026-07-23	紫阳东路	卖出	贤丰控股	6023	单日	verified	16.jpg	
2026-07-23	紫阳东路	卖出	金牛化工	5832	单日	verified	16.jpg	
2026-07-23	知春路	买入	盛达资源	11200	单日	verified	16.jpg	
2026-07-23	知春路	买入	华电辽能	8085	单日	verified	16.jpg	
2026-07-23	作手新一	卖出	创业黑马	4700	单日	verified	16.jpg	
2026-07-23	江苏路	买入	北方长龙	1711	单日	verified	16.jpg	
2026-07-23	江苏路	买入	双杰电气	1549	单日	verified	16.jpg	
2026-07-23	江苏路	买入	长缆科技	1102	单日	verified	16.jpg	
2026-07-23	江苏路	买入	新中港	927	单日	verified	16.jpg	
2026-07-23	江苏路	卖出	美利云	1717	单日	verified	16.jpg	
2026-07-23	江苏路	卖出	万通智控	1913	单日	verified	16.jpg	
2026-07-23	学院南路	卖出	托伦斯	6870	单日	verified	16.jpg	
2026-07-23	中山东路	买入	宏桥控股	3884	单日	verified	16.jpg	
2026-07-23	中山东路	买入	美利云	2964	单日	verified	16.jpg	
2026-07-23	中山东路	买入	湖南天雁	474	单日	verified	16.jpg	
2026-07-23	章盟主	买入	宏桥控股	3007	单日	verified	16.jpg	
2026-07-23	章盟主	买入	晶华新材	1826	单日	verified	16.jpg	
2026-07-23	孙哥	买入	扬电科技	3629	单日	verified	16.jpg	
2026-07-23	深南东路	买入	百合花	1622	单日	verified	16.jpg	
2026-07-23	深南东路	买入	三旺通信	1393	单日	verified	16.jpg	
2026-07-23	温州帮	买入	通源石油	2089	单日	verified	16.jpg	
2026-07-23	炒股养家	卖出	哈三联	2016	单日	verified	16.jpg	
2026-07-23	歌神	卖出	中岩大地	1681	单日	verified	16.jpg	
2026-07-23	杭州帮	买入	北方长龙	1166	单日	verified	16.jpg	
2026-07-23	杭州帮	卖出	古井贡酒	3041	单日	verified	16.jpg	
2026-07-23	独股一剑	卖出	ST天际	2059	单日	verified	16.jpg	
2026-07-23	低位挖掘	卖出	红板科技	4193	单日	verified	16.jpg	
2026-07-27	作手新一	买入	狮头股份	3739	单日	verified	15.jpg	
2026-07-27	作手新一	卖出	中光防雷	2741	单日	verified	15.jpg	结合当日东方财富龙虎榜复核代码300414
2026-07-27	葛卫东	买入	哈药股份	6159	单日	verified	15.jpg	
2026-07-27	葛卫东	卖出	哈药股份	11800	单日	verified	15.jpg	
2026-07-27	葛卫东	卖出	风华高科	4424	单日	verified	15.jpg	
2026-07-27	紫阳东路	买入	雅克科技	20800	单日	verified	15.jpg	
2026-07-27	紫阳东路	买入	江海股份	13800	单日	verified	15.jpg	
2026-07-27	紫阳东路	买入	贤丰控股	4553	单日	verified	15.jpg	
2026-07-27	紫阳东路	卖出	红板科技	12800	单日	verified	15.jpg	
2026-07-27	知春路	卖出	长缆科技	3310	单日	verified	15.jpg	
2026-07-27	江苏路	买入	中船特气	19600	单日	verified	15.jpg	
2026-07-27	江苏路	买入	多氟多	7684	单日	verified	15.jpg	
2026-07-27	江苏路	买入	风华高科	9768	单日	verified	15.jpg	
2026-07-27	江苏路	卖出	狮头股份	2448	单日	verified	15.jpg	头像遮挡末两位，OCR与可见字形复核
2026-07-27	成都系	买入	风华高科	17800	单日	verified	15.jpg	
2026-07-27	成都系	买入	雅克科技	15900	单日	verified	15.jpg	
2026-07-27	杭州帮	买入	红板科技	4361	单日	verified	15.jpg	
2026-07-27	山东帮	买入	新风光	1985	单日	verified	15.jpg	
2026-07-27	山东帮	卖出	金牛化工	315	单日	verified	15.jpg	
2026-07-27	中山东路	卖出	至纯科技	2830	单日	verified	15.jpg	
2026-07-27	中山东路	卖出	新亚制程	1328	单日	verified	15.jpg	
2026-07-27	南京帮	卖出	狮头股份	1390	单日	verified	15.jpg	
2026-07-27	低位挖掘	买入	宿迁联盛	1815	单日	verified	15.jpg	
2026-07-27	低位挖掘	卖出	万邦医药	946	单日	verified	15.jpg	
2026-07-27	低位挖掘	卖出	恒尚节能	3460	单日	verified	15.jpg	
2026-07-27	温州帮	买入	兴业科技	741	单日	verified	15.jpg	
2026-07-27	温州帮	卖出	采纳股份	2908	单日	verified	15.jpg	
2026-07-27	温州帮	卖出	长缆科技	1245	单日	verified	15.jpg	
2026-07-27	宁波桑田路	卖出	中船特气	13400	单日	verified	15.jpg	
2026-07-28	作手新一	买入	波长光电	24400	单日	verified	14.jpg	
2026-07-28	作手新一	卖出	狮头股份	3068	单日	verified	14.jpg	
2026-07-28	江苏路	买入	兴业科技	1334	单日	verified	14.jpg	
2026-07-28	江苏路	买入	华之杰	893	单日	verified	14.jpg	
2026-07-28	江苏路	买入	爱朋医疗	2431	单日	verified	14.jpg	
2026-07-28	江苏路	买入	科蓝软件	2619	单日	verified	14.jpg	
2026-07-28	江苏路	买入	海南海药	2875	单日	verified	14.jpg	
2026-07-28	江苏路	卖出	多氟多	8520	单日	verified	14.jpg	
2026-07-28	江苏路	卖出	创新医疗	1049	单日	verified	14.jpg	
2026-07-28	紫阳东路	买入	海南海药	7903	3日	verified	14.jpg	
2026-07-28	紫阳东路	卖出	景旺电子	12600	单日	verified	14.jpg	
2026-07-28	中山东路	买入	中际旭创	66200	单日	verified	14.jpg	
2026-07-28	中山东路	买入	共进股份	10100	单日	verified	14.jpg	
2026-07-28	中山东路	卖出	中利集团	2197	单日	verified	14.jpg	
2026-07-28	成都系	买入	岩山科技	17800	单日	verified	14.jpg	
2026-07-28	成都系	买入	科蓝软件	2303	单日	verified	14.jpg	
2026-07-28	欢乐海岸	买入	景旺电子	5968	单日	verified	14.jpg	
2026-07-28	欢乐海岸	卖出	ST禾信	1007	单日	verified	14.jpg	
2026-07-28	低位挖掘	买入	矩子科技	3628	单日	verified	14.jpg	
2026-07-28	低位挖掘	买入	金桥信息	1039	单日	verified	14.jpg	
2026-07-28	低位挖掘	卖出	宿迁联盛	3273	单日	verified	14.jpg	
2026-07-28	低位挖掘	卖出	海南海药	1131	单日	verified	14.jpg	
2026-07-28	炒股养家	买入	嘉美包装	3881	单日	verified	14.jpg	
2026-07-28	温州帮	买入	塞力医疗	1899	单日	verified	14.jpg	按上市公司规范名纠正
2026-07-28	温州帮	买入	必贝特	1427	单日	verified	14.jpg	
2026-07-28	温州帮	卖出	科蓝软件	443	单日	verified	14.jpg	
2026-07-28	独股一剑	买入	东方新能	1606	单日	verified	14.jpg	
2026-07-28	落升	买入	ST荣科	547	单日	verified	14.jpg	
2026-07-29	作手新一	买入	圣阳股份	4314	单日	verified	13.jpg	
2026-07-29	作手新一	卖出	波长光电	22100	单日	verified	13.jpg	
2026-07-29	紫阳东路	买入	风华高科	21500	单日	verified	13.jpg	
2026-07-29	紫阳东路	买入	贤丰控股	10800	单日	verified	13.jpg	
2026-07-29	江苏路	买入	华之杰	676	单日	verified	13.jpg	
2026-07-29	江苏路	卖出	华之杰	996	单日	verified	13.jpg	
2026-07-29	江苏路	卖出	爱朋医疗	2166	单日	verified	13.jpg	
2026-07-29	葛卫东	卖出	风华高科	14000	单日	verified	13.jpg	
2026-07-29	新城路	卖出	狮头股份	647	单日	verified	13.jpg	
2026-07-29	宁波桑田路	买入	风华高科	13500	单日	verified	13.jpg	
2026-07-29	广东帮	买入	百奥赛图	4362	单日	verified	13.jpg	
2026-07-29	成都系	买入	全通教育	1317	单日	verified	13.jpg	
2026-07-29	低位挖掘	买入	汉缆股份	2094	单日	verified	13.jpg	
2026-07-29	低位挖掘	卖出	东晶电子	696	单日	verified	13.jpg	
2026-07-29	独股一剑	卖出	万邦医药	725	单日	verified	13.jpg	
2026-07-29	炒股养家	买入	东百集团	1714	单日	verified	13.jpg	
2026-07-29	炒股养家	卖出	嘉美包装	3977	单日	verified	13.jpg	
2026-07-29	毛老板	卖出	长源东谷	2876	单日	verified	13.jpg	
2026-07-29	温州帮	买入	赤天化	1066	单日	verified	13.jpg	
2026-07-29	温州帮	卖出	新亚制程	1207	单日	verified	13.jpg	
2026-07-29	温州帮	卖出	汉缆股份	4019	单日	verified	13.jpg	
2026-07-29	深南东路	卖出	百合花	4391	单日	verified	13.jpg	
2026-07-29	欢乐海岸	卖出	长源东谷	5207	单日	verified	13.jpg	
2026-07-29	佛山系	买入	贤丰控股	2041	单日	verified	13.jpg	
2026-07-29	佛山系	卖出	通富微电	16200	单日	verified	13.jpg	
2026-07-30	呼家楼	买入	德明利	10400	单日	verified	12.jpg	
2026-07-30	葛卫东	卖出	东山精密	53800	单日	verified	12.jpg	
2026-07-30	葛卫东	卖出	科翔股份	11900	单日	verified	12.jpg	
2026-07-30	紫阳东路	买入	海南海药	5858	单日	verified	12.jpg	
2026-07-30	紫阳东路	卖出	贤丰控股	9731	单日	verified	12.jpg	
2026-07-30	江苏路	买入	普联软件	1943	单日	verified	12.jpg	
2026-07-30	江苏路	买入	纳百川	1590	单日	verified	12.jpg	
2026-07-30	江苏路	卖出	昀冢科技	4214	单日	verified	12.jpg	
2026-07-30	江苏路	卖出	紫光股份	9687	单日	verified	12.jpg	
2026-07-30	江苏路	卖出	华天酒店	1016	单日	verified	12.jpg	
2026-07-30	作手新一	卖出	圣阳股份	4404	单日	verified	12.jpg	
2026-07-30	作手新一	卖出	传智教育	2067	单日	verified	12.jpg	
2026-07-30	知春路	卖出	微导纳米	5514	单日	verified	12.jpg	
2026-07-30	学院南路	卖出	艾艾精工	1356	单日	verified	12.jpg	
2026-07-30	五星路	卖出	圣晖集成	5663	单日	verified	12.jpg	
2026-07-30	玉兰路	买入	红板科技	2230	单日	verified	12.jpg	
2026-07-30	玉兰路	买入	普联软件	1566	单日	verified	12.jpg	
2026-07-30	广东帮	买入	高争民爆	1476	单日	verified	12.jpg	
2026-07-30	深南东路	买入	新风光	1414	单日	verified	12.jpg	
2026-07-30	深南东路	卖出	晋拓股份	874	单日	verified	12.jpg	
2026-07-30	消闲派	买入	纳百川	533	单日	verified	12.jpg	
2026-07-30	中山东路	买入	南宁百货	434	单日	verified	12.jpg	
2026-07-30	低位挖掘	买入	浙江世宝	1525	单日	verified	12.jpg	
2026-07-30	低位挖掘	买入	均瑶健康	160	单日	verified	12.jpg	
2026-07-30	低位挖掘	卖出	南宁百货	891	单日	verified	12.jpg	
2026-07-30	山东帮	买入	昊创瑞通	662	单日	verified	12.jpg	
2026-07-30	山东帮	买入	新芝生物	403	单日	verified	12.jpg	
2026-07-30	山东帮	卖出	新风光	1756	单日	partially_obscured	12.jpg	末位被头像邻近遮挡，OCR复核为1756
2026-07-30	欢乐海岸	卖出	长源东谷	5437	单日	verified	12.jpg	
2026-07-30	佛山系	卖出	通富微电	14000	单日	verified	12.jpg	
2026-07-30	佛山系	卖出	贤丰控股	1868	单日	verified	12.jpg	
2026-07-30	温州帮	买入	艾艾精工	2266	单日	verified	12.jpg	
2026-07-30	温州帮	买入	利尔化学	1921	单日	verified	12.jpg	
2026-07-30	温州帮	买入	海南海药	1914	单日	partially_obscured	12.jpg	末位被头像遮挡，OCR复核
2026-07-30	温州帮	买入	双星新材	1746	单日	verified	12.jpg	
2026-07-30	温州帮	卖出	剑桥科技	26000	单日	verified	12.jpg	
2026-07-31	紫阳东路	买入	蓝色光标	18700	单日	verified	11.jpg	
2026-07-31	紫阳东路	卖出	海南海药	14300	单日	verified	11.jpg	
2026-07-31	作手新一	买入	利欧股份	8558	单日	verified	11.jpg	
2026-07-31	作手新一	买入	泛微网络	6753	单日	verified	11.jpg	
2026-07-31	作手新一	买入	致远互联	6011	单日	verified	11.jpg	
2026-07-31	江苏路	买入	蓝色光标	14700	单日	verified	11.jpg	
2026-07-31	江苏路	卖出	恒锋信息	1561	单日	verified	11.jpg	
2026-07-31	中山东路	买入	麦格米特	10400	单日	verified	11.jpg	
2026-07-31	中山东路	买入	爱丽家居	942	单日	verified	11.jpg	
2026-07-31	玉兰路	买入	普联软件	5100	单日	verified	11.jpg	
2026-07-31	三板组	买入	托伦斯	3034	单日	verified	11.jpg	
2026-07-31	三板组	买入	立新能源	1966	单日	verified	11.jpg	
2026-07-31	低位挖掘	买入	立新能源	1966	单日	verified	11.jpg	
2026-07-31	低位挖掘	买入	万邦医药	1169	单日	verified	11.jpg	
2026-07-31	低位挖掘	卖出	恒尚节能	816	单日	verified	11.jpg	
2026-07-31	低位挖掘	卖出	宿迁联盛	2290	单日	partially_obscured	11.jpg	末位区域被头像遮挡，OCR复核
2026-07-31	佛山系	买入	香江控股	1973	单日	verified	11.jpg	
2026-07-31	秋千	买入	爱丽家居	1001	单日	verified	11.jpg	
2026-07-31	杭州帮	卖出	朗姿股份	689	单日	verified	11.jpg	
2026-07-31	南京帮	卖出	福昕软件	1307	单日	verified	11.jpg	
2026-07-31	越王大道	卖出	招金黄金	2014	单日	verified	11.jpg	
2026-07-31	深南东路	买入	百合花	3416	单日	verified	11.jpg	
2026-07-31	深南东路	卖出	金牛化工	6888	单日	verified	11.jpg	
2026-07-31	宁波桑田路	卖出	金牛化工	6888	单日	verified	11.jpg	
2026-07-31	宁波桑田路	卖出	恒尚节能	2986	单日	verified	11.jpg	
2026-07-31	孙哥	买入	长裕集团	1108	单日	verified	11.jpg	
2026-07-31	孙哥	卖出	托伦斯	9719	单日	verified	11.jpg	
2026-08-03	作手新一	买入	富瀚微	39100	单日	verified	10.jpg	
2026-08-03	作手新一	卖出	利欧股份	9113	单日	verified	10.jpg	
2026-08-03	江苏路	买入	久盛电气	1813	单日	verified	10.jpg	
2026-08-03	江苏路	买入	乐山电力	1533	单日	verified	10.jpg	
2026-08-03	江苏路	买入	长城电工	903	单日	verified	10.jpg	
2026-08-03	江苏路	卖出	普联软件	4314	单日	verified	10.jpg	
2026-08-03	呼家楼	卖出	德明利	39800	单日	verified	10.jpg	
2026-08-03	新闻路	买入	盈峰环境	1977	单日	verified	10.jpg	
2026-08-03	新闻路	买入	天娱数科	1716	单日	verified	10.jpg	
2026-08-03	新闻路	买入	富瀚微	4498	单日	verified	10.jpg	
2026-08-03	中山东路	买入	盈峰环境	3349	单日	verified	10.jpg	
2026-08-03	玉兰路	买入	普联软件	1591	单日	verified	10.jpg	
2026-08-03	湖州劳动路	买入	盈峰环境	1579	单日	verified	10.jpg	
2026-08-03	温州帮	买入	乐山电力	1535	单日	verified	10.jpg	
2026-08-03	温州帮	卖出	东晶电子	768	单日	verified	10.jpg	
2026-08-03	成都系	买入	久盛电气	1295	单日	verified	10.jpg	
2026-08-03	成都系	卖出	恒银科技	1410	单日	verified	10.jpg	
2026-08-03	低位挖掘	买入	万邦医药	1944	单日	verified	10.jpg	
2026-08-03	低位挖掘	买入	凯旺科技	1031	单日	verified	10.jpg	
2026-08-03	低位挖掘	卖出	天娱数科		单日	obscured	10.jpg	金额被头像遮挡
2026-08-03	欢乐海岸	买入	宏桥控股	2020	单日	verified	10.jpg	
2026-08-03	欢乐海岸	卖出	百合花	1819	单日	verified	10.jpg	
2026-08-03	炒股养家	卖出	瑞迪智驱	323	单日	verified	10.jpg	
2026-08-03	孙哥	卖出	长裕集团	1012	单日	verified	10.jpg	
2026-08-03	湖里大道	卖出	天娱数科	1951	单日	verified	10.jpg	
2026-08-03	深南东路	卖出	美利云	2983	单日	verified	10.jpg	
2026-08-03	著名刺客	卖出	宏和科技	9483	单日	verified	10.jpg	
2026-08-04	紫阳东路	买入	行云科技	16000	单日	verified	9.jpg	
2026-08-04	紫阳东路	买入	东山精密	36500	单日	verified	9.jpg	
2026-08-04	紫阳东路	买入	光智科技	6744	单日	verified	9.jpg	
2026-08-04	紫阳东路	买入	东阳光	12200	单日	verified	9.jpg	
2026-08-04	紫阳东路	买入	红板科技	10800	单日	verified	9.jpg	
2026-08-04	紫阳东路	卖出	华电辽能	16300	单日	verified	9.jpg	
2026-08-04	作手新一	买入	新能股份	3005	单日	verified	9.jpg	
2026-08-04	江苏路	买入	德龙汇能	2021	单日	verified	9.jpg	
2026-08-04	江苏路	买入	风范股份	2058	单日	verified	9.jpg	
2026-08-04	江苏路	买入	引力传媒	1634	单日	verified	9.jpg	
2026-08-04	江苏路	买入	华之杰	753	单日	verified	9.jpg	
2026-08-04	江苏路	买入	汉缆股份	501	单日	verified	9.jpg	
2026-08-04	江苏路	卖出	长缆科技	1616	单日	verified	9.jpg	
2026-08-04	呼家楼	买入	神剑股份	10500	3日	verified	9.jpg	
2026-08-04	知春路	买入	东山精密	41500	单日	verified	9.jpg	
2026-08-04	新闻路	买入	欣天科技	679	3日	verified	9.jpg	
2026-08-04	新闻路	买入	中大力德	2280	3日	verified	9.jpg	
2026-08-04	新闻路	卖出	中大力德	2620	3日	verified	9.jpg	
2026-08-04	五星路	买入	高争民爆	11800	3日	verified	9.jpg	
2026-08-04	五星路	卖出	高争民爆	5041	3日	verified	9.jpg	
2026-08-04	葛卫东	买入	新能股份	4166	3日	verified	9.jpg	
2026-08-04	杭州帮	买入	东山精密	34700	单日	verified	9.jpg	
2026-08-04	杭州帮	买入	风华高科	14600	单日	verified	9.jpg	
2026-08-04	成都系	买入	光迅科技	12900	单日	verified	9.jpg	
2026-08-04	成都系	买入	华胜天成	10200	单日	verified	9.jpg	
2026-08-04	成都系	买入	青云科技	806	单日	verified	9.jpg	
2026-08-04	成都系	卖出	天娱数科	18500	单日	verified	9.jpg	
2026-08-04	成都系	卖出	万邦医药	421	单日	verified	9.jpg	
2026-08-04	独股一剑	买入	万邦医药	714	单日	verified	9.jpg	
2026-08-04	bike770	买入	青云科技	670	单日	verified	9.jpg	
2026-08-04	温州帮	买入	兔宝宝	479	单日	verified	9.jpg	
2026-08-04	温州帮	卖出	中岩大地	1195	单日	verified	9.jpg	
2026-08-04	温州帮	卖出	德龙汇能	727	单日	verified	9.jpg	
2026-08-04	北京帮	卖出	普联软件	2248	单日	verified	9.jpg	
2026-08-04	玉兰路	卖出	普联软件	4350	单日	verified	9.jpg	
2026-08-04	深南东路	买入	豪尔赛	1506	单日	verified	9.jpg	
2026-08-04	深南东路	卖出	美利云	1886	单日	verified	9.jpg	
2026-08-04	深南东路	卖出	长缆科技	4008	单日	verified	9.jpg	
2026-08-04	深南东路	卖出	中岩大地	4771	单日	verified	9.jpg	
2026-08-04	曲江池	卖出	东山精密	28900	单日	verified	9.jpg	
2026-08-05	大连黄河路	买入	魅视科技	5067	3日	verified	8.jpg	
2026-08-05	紫阳东路	买入	中钨高新	15800	单日	verified	8.jpg	
2026-08-05	紫阳东路	买入	星网锐捷	14200	单日	verified	8.jpg	
2026-08-05	紫阳东路	买入	新开普	10400	单日	verified	8.jpg	
2026-08-05	紫阳东路	买入	太极实业	8240	单日	verified	8.jpg	
2026-08-05	紫阳东路	卖出	红板科技	10900	单日	verified	8.jpg	
2026-08-05	作手新一	买入	智动力	6903	单日	verified	8.jpg	
2026-08-05	作手新一	买入	大众交通	6353	单日	verified	8.jpg	
2026-08-05	作手新一	买入	百花医药	5003	单日	verified	8.jpg	
2026-08-05	知春路	买入	长飞光纤	10500	单日	verified	8.jpg	
2026-08-05	知春路	卖出	东山精密	48000	单日	verified	8.jpg	
2026-08-05	江苏路	买入	大众交通	1495	单日	verified	8.jpg	
2026-08-05	江苏路	买入	皖仪科技	927	单日	verified	8.jpg	
2026-08-05	江苏路	卖出	浩通科技	1818	单日	verified	8.jpg	
2026-08-05	江苏路	卖出	久盛电气		单日	obscured	8.jpg	金额被头像遮挡
2026-08-05	葛卫东	买入	华电辽能	17600	3日	verified	8.jpg	
2026-08-05	新闻路	买入	云南锗业	11300	单日	verified	8.jpg	
2026-08-05	低位挖掘	买入	东山精密	28200	单日	verified	8.jpg	
2026-08-05	低位挖掘	买入	汉鑫科技	71200	单日	verified	8.jpg	图片原文712e，按7.12亿元记71200万元
2026-08-05	低位挖掘	卖出	红板科技	3189	单日	verified	8.jpg	
2026-08-05	低位挖掘	卖出	万邦医药	733	单日	verified	8.jpg	
2026-08-05	成都系	买入	长飞光纤	10800	单日	verified	8.jpg	
2026-08-05	成都系	买入	中钨高新	10000	单日	verified	8.jpg	
2026-08-05	成都系	买入	万集科技	847	单日	verified	8.jpg	
2026-08-05	温州帮	买入	华锐精密	3636	单日	verified	8.jpg	
2026-08-05	温州帮	买入	浩通科技	1733	单日	verified	8.jpg	
2026-08-05	温州帮	卖出	维琪科技	289	单日	verified	8.jpg	
2026-08-05	上塘路	买入	金安国纪	5448	单日	verified	8.jpg	结合当日东方财富龙虎榜复核代码002636
2026-08-05	上塘路	卖出	长飞光纤	4970	单日	verified	8.jpg	
2026-08-05	章盟主	卖出	皖仪科技	546	单日	verified	8.jpg	
2026-08-05	涅槃重升	卖出	万邦医药	812	单日	verified	8.jpg	
2026-08-06	紫阳东路	买入	多氟多	20900	单日	verified	7.jpg	
2026-08-06	紫阳东路	买入	云南锗业	16100	单日	verified	7.jpg	
2026-08-06	紫阳东路	买入	蜀道装备	8247	单日	verified	7.jpg	
2026-08-06	知春路	买入	云南锗业	10200	单日	verified	7.jpg	
2026-08-06	知春路	卖出	云南锗业	31000	单日	verified	7.jpg	
2026-08-06	知春路	买入	有研新材	29400	3日	verified	7.jpg	
2026-08-06	知春路	卖出	有研新材	12500	3日	verified	7.jpg	
2026-08-06	知春路	卖出	利通电子	19200	单日	verified	7.jpg	
2026-08-06	作手新一	卖出	泛微网络	15200	3日	verified	7.jpg	
2026-08-06	作手新一	卖出	百花医药	5766	单日	verified	7.jpg	
2026-08-06	江苏路	买入	江钨装备	2667	单日	verified	7.jpg	
2026-08-06	江苏路	买入	和远气体	2819	3日	verified	7.jpg	
2026-08-06	江苏路	卖出	和远气体	757	3日	verified	7.jpg	
2026-08-06	葛卫东	买入	百花医药	3110	单日	verified	7.jpg	
2026-08-06	葛卫东	买入	哈药股份	6951	单日	verified	7.jpg	
2026-08-06	葛卫东	卖出	哈药股份	11300	单日	verified	7.jpg	
2026-08-06	新闻路	买入	欣天科技	1827	单日	verified	7.jpg	
2026-08-06	五星路	买入	百花医药	2033	单日	verified	7.jpg	
